Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B0BX99B52P-R1JH0HPIUQRJT3,R1JH0HPIUQRJT3,3.0,Good for worth,0.0,2023-10-26,"WWahuayuan Retro Game Console with Dual Controllers Plug & Play Video Game Stick Built in 10000+ Games, 9 Classic Emulators, TV 4K High Definition HDMI Output, Great Gift for Adults and Kids",video_games,39.99,3.4,21
B08F5FBVKT-RNQU12BJJ95EL,RNQU12BJJ95EL,1.0,Mala inversión,0.0,2023-10-25,"LKTINA 8GB 4.3’’ 1000 LCD Screen Handheld Portable Game Console, Built in 1200+Real Video Games with Media Player, for gba/gbc/SFC/fc/SMD Games, Best Gift for Kids and Adults -Black (Medium)",video_games,33.99,3.5,788
B0C9NX5P1R-RWC6VGA3U9005,RWC6VGA3U9005,5.0,Nice Game,0.0,2023-10-24,The Grinch: Christmas Adventures - Nintendo Switch,video_games,29.99,3.8,20
B0BWKBL8KN-R34U4MKBV5FFDG,R34U4MKBV5FFDG,5.0,Bueno,0.0,2023-10-24,"AKARSOLY Retro Game Console,4K HDMI Video Game System Built in 5000 Classic Games,Dual Game Controllers Wireless and Plug and Play Video Game Console.",video_games,55.99,5.0,2
B0C8VHZR14-R1T0TAYU3FOZ8T,R1T0TAYU3FOZ8T,5.0,Love,0.0,2023-10-26,Super Mario Bros.™ Wonder - Nintendo Switch (US Version),video_games,59.0,4.7,207
B0BKQZKY18-R9W0X31EMZJZ3,R9W0X31EMZJZ3,1.0,Horrible,0.0,2023-10-21,"DREAMHAX X7 Plus Handheld Game Console with Preload 10000 Games, Portable Video Games Support HDMI Output & Double Player, Classic Arcade Retro Game Player Gameboy Gift Present (4.3"" Screen Red Blue)",video_games,45.99,3.4,93
B0BRKL55DF-R2YEEO3QRY79KH,R2YEEO3QRY79KH,5.0,A very interesting rebuilt of NES.,0.0,2023-08-07,"Mihiliring Retro Game Console with 621 Built-in Old Games, 2 Controllers, 4K HD HDMI Output, 8-Bit Plug and Play Classic Mini Video Game System for Kids and Adults as Gift (621(HDMI Input))",video_games,49.99,3.9,32
B0BVVSXRC1-R2HOZOTX7G6MXB,R2HOZOTX7G6MXB,4.0,Don't add batteries to the tv !,0.0,2023-10-25,E-MODS GAMING Retro Games Console GV300S Mini TV Style 308 Video Games Player with Handheld Gamepad & AV Output - 3.0 Inch Screen Electronic Games Machine Xmas Gift for Kids Adults (Pink),video_games,32.99,4.1,605
B0B7QZFPMJ-R152LYOWP9QG1I,R152LYOWP9QG1I,1.0,It is  stupid,0.0,2023-10-24,X70 Handheld Game Console 7.0 inch Pro Retro Games Consoles Classic Video Games Pad Style Preinstalled System Built-in Rechargeable Battery Gaming Consoles 64GB,video_games,76.99,3.8,219
B09L8J6997-R1ZRAPVVT5G1JS,R1ZRAPVVT5G1JS,1.0,No work,0.0,2023-10-25,"Retro Game Console,Classic Mini Retro Game Console, Classic Mini Console Built-in with 620 Classic Retro Games，AV Output,Plug and Play Video Game Console",video_games,25.99,4.8,15910
